title,company,salary,location,career,education,employment,preferred,salary_detail,work_days,work_place
무인 자율주행 로봇 펌웨어 [경력] 개발자 모집,(주)비아,,,경력(년수무관),학력무관,정규직수습기간 3개월,,,,전북 전주시 덕진구지도
'자동화시스템 설계 및 제작' 분야 모집,(주)씨디알시스템,"4,000 만원",서울강남구,무관(신입포함),학력무관,정규직수습기간 3개월,"우대사항상세보기활동/경험해당직무 인턴경력, 해당직무 알바경험, 해당직무 근무경험근무조건차량소지자닫기 - 우대사항 상세",,주 5일(월~금),"서울 강남구, 경기 화성시 (재택근무 가능)지도"
센서 개발 신입 및 경력직 모집,센서텍(주),,서울강서구,신입·경력(년수무관),"대졸(2,3년제) 이상",정규직수습기간 3개월,"우대사항상세보기전공기계/자동차/조선공학, 신소재/재료공학, 물리자격/능력컴퓨터활용능력 우수활동/경험해당직무 근무경험닫기 - 우대사항 상세",,,서울 강서구지도
[쉐코] 수상로봇 개발 스타트업 펌웨어 개발자 채용,(주)쉐코,,인천남동구,경력 5년 ↑,"대졸(2,3년제) 이상",정규직수습기간 3개월,,,,인천 남동구지도
C#/C++ 응용소프트웨어/로봇제어 Machine Vision 시스템 개발,기득산업(주),,,무관(신입포함),학력무관,정규직,,,,경남 김해시지도
개발본부C/C++ 엔지니어(Middleware),(주)유진로봇,,인천연수구,경력 4~15년,대졸(4년제) 이상,정규직,,,,"인천 연수구, 인천전체"
Sensor Fusion / 차량용 카메라 알고리즘 개발 엔지니어 모집,이인텔리전스(주),,대구북구,경력(년수무관),대졸(4년제) 이상,정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 컴퓨터/시스템공학, 기계/자동차/조선공학닫기 - 우대사항 상세",,주 5일(월~금),대구 북구지도
[HD현대로보틱스] 임베디드 SW Test (소프트웨어검증) 채용,(주)더테스트,,경기성남시 분당구,경력 1~7년,"대졸(2,3년제) 이상",정규직수습기간 3개월,"우대사항상세보기전공컴퓨터/시스템공학자격증정보처리기사, CSTS, ISTQB Certified Tester근무조건인근거주자닫기 - 우대사항 상세",,,경기 성남시 분당구지도
웨어러블 로봇 알고리즘 전문가,(주)휴로틱스,,서울동작구,무관(신입포함),학력무관,"정규직, 계약직근무형태상세보기정규직수습기간 3개월계약직3개월, 정규직 전환 가능닫기 근무형태 상세 설명",,,,서울 동작구지도
연구개발(딥러닝 엔지니어) 채용,(주)에이아이매틱스,,경기성남시 분당구,경력 5~10년,석사졸업 이상,정규직수습기간 3개월,,,주 5일(월~금),"경기 성남시 분당구, 성남시지도"
실외(outdoor) 자율주행 로봇플랫폼 SW (ROS2) 개발 팀원 모집,(주)모빌에이트,,,신입·경력(년수무관),대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,우대사항상세보기전공공학계열근무조건인근거주자활동/경험해당직무 근무경험닫기 - 우대사항 상세,,,충남 천안시 서북구지도
F/W 펌웨어 개발,오토엘(주),,경기전체,경력 5~12년,대졸(4년제) 이상,정규직,,,,"경기전체, 경기 성남시"
자율주행 모바일 로봇 Software Engineer,(주)시스콘로보틱스,,경기성남시 수정구,무관(신입포함),대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,"우대사항상세보기전공컴퓨터/시스템공학, 기계/자동차/조선공학, 공학계열외국어 능력영어가능자활동/경험해당직무 근무경험※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,주 5일(월~금),경기 성남시 수정구지도
물류 로봇 통합 제어(ROS) 개발자,(주)알티올,,인천연수구,경력 5~10년,"대졸(2,3년제) 이상",정규직수습기간 3개월,,,,인천 연수구지도
로봇 스타트업 필드 서비스 엔지니어 (Field Service Engineer),(주)에니아이,,서울성동구,무관(신입포함),학력무관,"정규직, 계약직근무형태상세보기정규직수습기간 3개월계약직6개월, 정규직 전환 가능 - 기간제닫기 근무형태 상세 설명",,,면접 후 결정,서울 성동구지도
2025 엔젤로보틱스 각 분야 채용 공고 (전문연구요원 가능),(주)엔젤로보틱스,,서울광진구,신입·경력,학력무관*분야별 상이함,"정규직, 병역특례근무형태상세보기정규직수습기간 3개월병역특례전문연구요원닫기 근무형태 상세 설명","우대사항상세보기전공컴퓨터/시스템공학, 공학계열활동/경험공모전 입상자, 해당직무 근무경험닫기 - 우대사항 상세",,,"서울 광진구, 대전 대덕구"
㈜바이오트코리아 로봇 개발 경력 채용 공고,(주)바이오트코리아,,서울송파구,경력 3년 ↑,대졸(4년제) 이상,정규직수습기간 3개월,"우대사항상세보기전공공학계열활동/경험해당직무 근무경험※ 지원부문별 상이할 수 있으니, 상세요강에서 확인해주세요.닫기 - 우대사항 상세",,주 5일(월~금),서울 송파구지도
"(프로그래머 모집) 로봇 자동화 시스템, 응용 소프트웨어",네오아크로보틱스,,대구북구,무관(신입포함),대졸(4년제) 이상(예정자 가능),"정규직, 계약직근무형태상세보기정규직수습기간 3개월계약직1년, 정규직 전환 가능 - 기간제, 무기계약직닫기 근무형태 상세 설명","우대사항상세보기전공컴퓨터/시스템공학, 공학계열활동/경험공모전 입상자, 해당직무 근무경험닫기 - 우대사항 상세",,,대구 북구지도
[나비프라] LiDAR/Vision AI 엔지니어,(주)나비프라,,서울서초구,무관(신입포함),석사졸업 이상(예정자 가능),정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 컴퓨터/시스템공학, 공학계열활동/경험공모전 입상자, 해당직무 근무경험닫기 - 우대사항 상세",,,서울 서초구지도
자율점검 드론/로봇 개발자(석사이상),(주)시에라베이스,,,신입·경력 1년 ↓,석사졸업 이상(예정자 가능),정규직,"우대사항상세보기전공컴퓨터/시스템공학, 공학계열활동/경험공모전 입상자, 해당직무 근무경험닫기 - 우대사항 상세",,,"울산전체, 울산 남구"
노지자율주행 (자재운반) 로봇플랫폼 SW (ROS2) 개발 팀원 채용,(주)모빌에이트,,,신입·경력(년수무관),대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,우대사항상세보기전공공학계열근무조건인근거주자활동/경험해당직무 근무경험닫기 - 우대사항 상세,,,충남 천안시 서북구지도
